year,state_ut,category,metric,value,unit,source_report,source_page,notes
2001,Arunachal Pradesh,ST,Decadal Growth Total Population (%),27.0,percent,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
1991,Arunachal Pradesh,ST,ST Population 1991,550351.0,count,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Arunachal Pradesh,ST,ST Population 2001,705158.0,count,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Arunachal Pradesh,ST,Decadal Growth ST Population (%),28.13,percent,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Arunachal Pradesh,ST,ST Population as % of State Population (2001),64.2,percent,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Arunachal Pradesh,ST,State's Share of India's Total ST Population (%),0.84,percent,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
1991,Assam,ST,Total Population 1991,22414322.0,count,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Assam,ST,Total Population 2001,26655528.0,count,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Assam,ST,Decadal Growth Total Population (%),18.92,percent,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
1991,Assam,ST,ST Population 1991,2874441.0,count,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Assam,ST,ST Population 2001,3308570.0,count,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Assam,ST,Decadal Growth ST Population (%),15.1,percent,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Assam,ST,ST Population as % of State Population (2001),12.4,percent,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Assam,ST,State's Share of India's Total ST Population (%),3.92,percent,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
1991,Bihar,ST,Total Population 1991,86374465.0,count,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Bihar,ST,Total Population 2001,82998509.0,count,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Bihar,ST,Decadal Growth Total Population (%),6616914.0,percent,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
1991,Bihar,ST,ST Population 1991,758351.0,count,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Bihar,ST,ST Population 2001,0.9,count,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Bihar,ST,Decadal Growth ST Population (%),0.9,percent,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
1991,Chhattisgarh,ST,Total Population 1991,20833803.0,count,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Chhattisgarh,ST,Total Population 2001,6616596.0,count,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Chhattisgarh,ST,Decadal Growth Total Population (%),31.8,percent,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
1991,Chhattisgarh,ST,ST Population 1991,7.85,count,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
1991,Goa,ST,Total Population 1991,1169793.0,count,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Goa,ST,Total Population 2001,1347668.0,count,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Goa,ST,Decadal Growth Total Population (%),15.21,percent,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
1991,Goa,ST,ST Population 1991,376.0,count,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Goa,ST,ST Population 2001,566.0,count,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Goa,ST,Decadal Growth ST Population (%),50.53,percent,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Goa,ST,ST Population as % of State Population (2001),0.07,percent,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
1991,Gujarat,ST,Total Population 1991,41309582.0,count,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Gujarat,ST,Total Population 2001,50671017.0,count,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Gujarat,ST,Decadal Growth Total Population (%),22.66,percent,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
1991,Gujarat,ST,ST Population 1991,6161775.0,count,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Gujarat,ST,ST Population 2001,7481160.0,count,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Gujarat,ST,Decadal Growth ST Population (%),21.41,percent,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Gujarat,ST,ST Population as % of State Population (2001),14.8,percent,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Gujarat,ST,State's Share of India's Total ST Population (%),8.87,percent,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
1991,Haryana,ST,Total Population 1991,16463648.0,count,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Haryana,ST,Total Population 2001,21144564.0,count,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Haryana,ST,Decadal Growth Total Population (%),28.43,percent,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
1991,Himachal Pradesh,ST,Total Population 1991,5170877.0,count,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Himachal Pradesh,ST,Total Population 2001,6077900.0,count,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Himachal Pradesh,ST,Decadal Growth Total Population (%),17.54,percent,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
1991,Himachal Pradesh,ST,ST Population 1991,218349.0,count,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Himachal Pradesh,ST,ST Population 2001,244587.0,count,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Himachal Pradesh,ST,Decadal Growth ST Population (%),12.02,percent,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Himachal Pradesh,ST,ST Population as % of State Population (2001),4.0,percent,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Himachal Pradesh,ST,State's Share of India's Total ST Population (%),0.29,percent,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
1991,Jharkhand,ST,Total Population 1991,26945829.0,count,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Jharkhand,ST,Total Population 2001,7087068.0,count,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Jharkhand,ST,Decadal Growth Total Population (%),26.3,percent,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
1991,Jharkhand,ST,ST Population 1991,8.4,count,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
1991,Karnataka,ST,Total Population 1991,44977201.0,count,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Karnataka,ST,Total Population 2001,52850562.0,count,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Karnataka,ST,Decadal Growth Total Population (%),17.51,percent,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
1991,Karnataka,ST,ST Population 1991,1915691.0,count,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Karnataka,ST,ST Population 2001,3463986.0,count,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Karnataka,ST,Decadal Growth ST Population (%),80.82,percent,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Karnataka,ST,ST Population as % of State Population (2001),6.6,percent,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Karnataka,ST,State's Share of India's Total ST Population (%),4.11,percent,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
1991,Kerala,ST,Total Population 1991,29098518.0,count,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Kerala,ST,Total Population 2001,31841374.0,count,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Kerala,ST,Decadal Growth Total Population (%),9.43,percent,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
1991,Kerala,ST,ST Population 1991,320967.0,count,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Kerala,ST,ST Population 2001,364189.0,count,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Kerala,ST,Decadal Growth ST Population (%),13.47,percent,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Kerala,ST,ST Population as % of State Population (2001),1.1,percent,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Kerala,ST,State's Share of India's Total ST Population (%),0.43,percent,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
1991,Madhya Pradesh,ST,Total Population 1991,66181170.0,count,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Madhya Pradesh,ST,Total Population 2001,60348023.0,count,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Madhya Pradesh,ST,Decadal Growth Total Population (%),15399034.0,percent,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
1991,Madhya Pradesh,ST,ST Population 1991,12233474.0,count,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Madhya Pradesh,ST,ST Population 2001,20.3,count,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Madhya Pradesh,ST,Decadal Growth ST Population (%),14.51,percent,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
1991,Maharashtra,ST,Total Population 1991,78937187.0,count,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Maharashtra,ST,Total Population 2001,96878627.0,count,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Maharashtra,ST,Decadal Growth Total Population (%),22.73,percent,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
1991,Maharashtra,ST,ST Population 1991,7318281.0,count,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Maharashtra,ST,ST Population 2001,8577276.0,count,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Maharashtra,ST,Decadal Growth ST Population (%),17.2,percent,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Maharashtra,ST,ST Population as % of State Population (2001),8.9,percent,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Maharashtra,ST,State's Share of India's Total ST Population (%),10.17,percent,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
1991,Manipur,ST,Total Population 1991,1837149.0,count,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Manipur,ST,Total Population 2001,2166788.0,count,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Manipur,ST,Decadal Growth Total Population (%),17.94,percent,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
1991,Manipur,ST,ST Population 1991,632173.0,count,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Manipur,ST,ST Population 2001,741141.0,count,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Manipur,ST,Decadal Growth ST Population (%),17.24,percent,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Manipur,ST,ST Population as % of State Population (2001),34.2,percent,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Manipur,ST,State's Share of India's Total ST Population (%),0.88,percent,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
1991,Meghalaya,ST,Total Population 1991,1774778.0,count,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Meghalaya,ST,Total Population 2001,2318822.0,count,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Meghalaya,ST,Decadal Growth Total Population (%),30.65,percent,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
1991,Meghalaya,ST,ST Population 1991,1517927.0,count,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Meghalaya,ST,ST Population 2001,1992862.0,count,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Meghalaya,ST,Decadal Growth ST Population (%),31.29,percent,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Meghalaya,ST,ST Population as % of State Population (2001),85.9,percent,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Meghalaya,ST,State's Share of India's Total ST Population (%),2.36,percent,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
1991,Mizoram,ST,Total Population 1991,689756.0,count,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Mizoram,ST,Total Population 2001,888573.0,count,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Mizoram,ST,Decadal Growth Total Population (%),28.82,percent,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
1991,Mizoram,ST,ST Population 1991,653565.0,count,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Mizoram,ST,ST Population 2001,839310.0,count,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Mizoram,ST,Decadal Growth ST Population (%),28.42,percent,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
2001,Mizoram,ST,ST Population as % of State Population (2001),94.5,percent,AR2004-05,34,"From Annexure-IV, Demographic Statistics: 2001 Census. States like Chhattisgarh, Jharkhand and Uttarakhand were newly created in 2000, so 1991 figures are blank in the original table for those states."
